"county","year","homrate","population"
"Adams County, CO",2016,5.6,498187
"Alameda County, CA",2016,7.2,1647704
"Allegheny County, PA",2016,8.7,1225365
"Allen County, IN",2016,13.2,370404
"Anchorage Borough, AK",2016,10.4,298192
"Anderson County, SC",2016,12.2,196569
"Anne Arundel County, MD",2016,4.2,568346
"Arapahoe County, CO",2016,5.5,637068
"Atlantic County, NJ",2016,7.7,270991
"Baltimore city, MD",2016,43.9,614664
"Baltimore County, MD",2016,8.9,831026
"Bell County, TX",2016,7.3,340411
"Bergen County, NJ",2015,2.1,938506
"Berks County, PA",2003,5.7,385846
"Bernalillo County, NM",2016,10.3,676953
"Bexar County, TX",2016,9.4,1928680
"Bibb County, GA",2015,17.6,153721
"Brevard County, FL",2016,5.2,579130
"Bristol County, MA",2009,3.7,547324
"Bronx County, NY",2016,6.8,1455720
"Broward County, FL",2016,5.4,1909632
"Burlington County, NJ",2016,4.7,449284
"Butler County, OH",2016,5.3,377537
"Caddo Parish, LA",2016,18.5,248851
"Calcasieu Parish, LA",2007,12.8,187081
"Calhoun County, AL",2011,17,117797
"Camden County, NJ",2016,10.6,510150
"Charleston County, SC",2016,12.4,396484
"Chatham County, GA",2016,18,289082
"Chesterfield County, VA",2005,6.9,289998
"Clark County, NV",2016,8.4,2155664
"Clayton County, GA",2016,14.3,279462
"Cobb County, GA",2016,4.1,748150
"Collin County, TX",2016,3,939585
"Contra Costa County, CA",2016,6.1,1135127
"Cook County, IL",2016,17,5203499
"Cumberland County, NC",2016,12.5,327127
"Cuyahoga County, OH",2016,13.8,1249352
"Dallas County, TX",2016,8.1,2574984
"Dauphin County, PA",2014,7.4,271453
"Davidson County, TN",2016,12.1,684410
"DeKalb County, GA",2016,13.1,740321
"Delaware County, PA",2016,9.1,563402
"Denton County, TX",2004,3.8,529811
"Denver County, CO",2016,6.5,693060
"District of Columbia, DC",2016,18.4,681170
"Douglas County, NE",2016,5.2,554995
"Durham County, NC",2016,14,306212
"Duval County, FL",2016,11.7,926255
"East Baton Rouge Parish, LA",2016,17.2,447037
"El Paso County, CO",2016,6,688284
"El Paso County, TX",2016,3.1,837918
"Erie County, NY",2016,6.1,921046
"Escambia County, FL",2016,7.3,315187
"Essex County, MA",2011,2.7,748930
"Essex County, NJ",2016,14.3,796914
"Fairfax County, VA",2010,1.9,1081726
"Fairfield County, CT",2015,2.4,948053
"Fayette County, KY",2016,8.2,318449
"Forsyth County, NC",2016,7,371511
"Fort Bend County, TX",2016,5.4,741237
"Franklin County, OH",2016,8.6,1264518
"Fresno County, CA",2016,7,979915
"Fulton County, GA",2016,15,1023336
"Galveston County, TX",2016,6.4,329431
"Gaston County, NC",1999,13.2,189127
"Genesee County, MI",2016,13.2,408615
"Greenville County, SC",2016,6.8,498766
"Guilford County, NC",2016,8.2,521330
"Gwinnett County, GA",2016,4.4,907135
"Hamilton County, OH",2016,8.8,809099
"Hamilton County, TN",2016,11.2,357738
"Hampden County, MA",2015,5.1,470690
"Hampton city, VA",2016,14.8,135410
"Harris County, TX",2016,9.4,4589928
"Harrison County, MS",2011,12,191040
"Hartford County, CT",2016,2.6,892389
"Hennepin County, MN",2016,4,1232483
"Henrico County, VA",2016,6.4,326501
"Hidalgo County, TX",2016,2.9,849843
"Hillsborough County, FL",2016,5.7,1376238
"Hinds County, MS",2016,25.3,241229
"Honolulu County, HI",2016,2.1,992605
"Horry County, SC",2016,9.3,322342
"Hudson County, NJ",2016,4.9,677983
"Jackson County, MO",2016,19.4,691801
"Jefferson County, AL",2016,21.2,659521
"Jefferson County, AR",2012,26.8,74723
"Jefferson County, CO",1999,4.6,523325
"Jefferson County, KY",2016,15.4,765352
"Jefferson County, TX",2016,13,254679
"Jefferson Parish, LA",2016,15.6,436523
"Kanawha County, WV",2014,11,190223
"Kane County, IL",2004,4.7,466884
"Kent County, MI",2016,3.1,642173
"Kern County, CA",2016,9.9,884788
"King County, WA",2016,2.4,2149970
"Kings County, NY",2016,5.4,2629150
"Knox County, TN",2016,4.8,456132
"Lafayette Parish, LA",2016,9.1,241398
"Lake County, IL",2016,3,703047
"Lake County, IN",2016,17.3,485846
"Lancaster County, PA",2006,4.4,500922
"Lane County, OR",2015,6.1,362895
"Lee County, AL",2016,13.2,158991
"Lee County, FL",2016,6.4,722336
"Lexington County, SC",2001,10.9,220099
"Lorain County, OH",2016,6.5,306365
"Los Angeles County, CA",2016,6.2,10137915
"Lubbock County, TX",2015,7,299453
"Lucas County, OH",2016,8.6,432488
"Luzerne County, PA",2009,6.2,320527
"Macomb County, MI",2016,4.3,867730
"Madison County, AL",2016,7,356967
"Mahoning County, OH",2015,10.8,231900
"Manatee County, FL",2016,6.7,375888
"Maricopa County, AZ",2016,6.1,4242997
"Marion County, FL",2016,8,349020
"Marion County, IN",2016,18.5,941229
"McLennan County, TX",2004,9.5,221353
"Mecklenburg County, NC",2016,8,1054835
"Merced County, CA",2015,12.3,268455
"Mercer County, NJ",2016,7.3,371023
"Miami-Dade County, FL",2016,8.1,2712945
"Middlesex County, MA",2011,1.8,1518171
"Middlesex County, NJ",2003,3.2,775973
"Milwaukee County, WI",2016,17.1,951448
"Mobile County, AL",2016,19,414836
"Monroe County, NY",2016,7,747727
"Monterey County, CA",2016,12.9,435232
"Montgomery County, AL",2016,17.7,226349
"Montgomery County, MD",2015,2.9,1040116
"Montgomery County, OH",2016,12.4,531239
"Montgomery County, PA",2009,2.9,795494
"Montgomery County, TX",1999,8.4,284271
"Multnomah County, OR",2016,3.9,799766
"Muscogee County, GA",2016,12.7,197485
"Nassau County, NY",2016,1.8,1361500
"Navajo County, AZ",2004,19.5,102774
"New Castle County, DE",2016,8.1,556987
"New Haven County, CT",2016,4,856875
"New York County, NY",2016,2.4,1643734
"Newport News city, VA",2016,18.1,181825
"Norfolk city, VA",2016,13.5,245115
"Nueces County, TX",2016,6.6,361350
"Oakland County, MI",2016,3.7,1243970
"Oklahoma County, OK",2016,11.8,782970
"Onondaga County, NY",2016,7.5,466194
"Orange County, CA",2016,2.3,3172532
"Orange County, FL",2016,9,1314367
"Orangeburg County, SC",2004,24,91691
"Orleans Parish, LA",2016,36.5,391495
"Ouachita Parish, LA",2015,16.6,156761
"Palm Beach County, FL",2016,6.2,1443810
"Pasco County, FL",2015,4.8,497909
"Passaic County, NJ",2015,3.9,510916
"Peoria County, IL",2010,10.7,186494
"Philadelphia County, PA",2016,18,1567872
"Pierce County, WA",2016,4.2,861312
"Pima County, AZ",2016,5.5,1016206
"Pinal County, AZ",2016,4.8,418540
"Pinellas County, FL",2016,5.4,960730
"Plymouth County, MA",2011,4.4,497579
"Polk County, FL",2016,6.9,666149
"Polk County, IA",2016,4.6,474045
"Portsmouth city, VA",2015,20.8,96201
"Prince George's County, MD",2016,13.2,908049
"Prince William County, VA",2016,5.3,455210
"Providence County, RI",2016,3.3,633673
"Pulaski County, AR",2016,16.3,393250
"Queens County, NY",2016,2.4,2333054
"Ramsey County, MN",2015,4.3,538133
"Rapides Parish, LA",2014,16.6,132488
"Richland County, SC",2016,11.2,409549
"Richmond city, VA",2016,21.5,223170
"Richmond County, GA",2016,12.9,201647
"Richmond County, NY",2010,4.5,468730
"Riverside County, CA",2016,3.9,2387741
"Robeson County, NC",2016,30,133235
"Sacramento County, CA",2016,6.3,1514460
"Saginaw County, MI",2013,14.8,196542
"Salt Lake County, UT",2016,3.8,1121354
"San Bernardino County, CA",2016,6.6,2140096
"San Diego County, CA",2016,3.1,3317749
"San Francisco County, CA",2016,5.1,870887
"San Joaquin County, CA",2016,9.9,733709
"San Mateo County, CA",2013,2.7,747373
"Santa Clara County, CA",2016,2.9,1919402
"Sarasota County, FL",2007,6.1,375325
"Sedgwick County, KS",2016,6.6,511995
"Seminole County, FL",2016,6.1,455479
"Shawnee County, KS",2012,11.2,178991
"Shelby County, TN",2016,24.5,934603
"Snohomish County, WA",2016,2.5,787620
"Solano County, CA",2016,6.1,440207
"Sonoma County, CA",2003,4.3,466489
"Spartanburg County, SC",2015,8.7,297302
"Spokane County, WA",2013,4.8,479398
"St. Clair County, IL",2016,14.5,262759
"St. Joseph County, IN",2016,7.4,269141
"St. Louis city, MO",2016,44.6,311404
"St. Louis County, MO",2016,12.1,998581
"St. Lucie County, FL",2011,8.2,280379
"Stanislaus County, CA",2016,5,541560
"Stark County, OH",2015,5.3,375165
"Suffolk County, MA",2016,5,784230
"Suffolk County, NY",2016,2.5,1492583
"Summit County, OH",2016,5.6,540300
"Tangipahoa Parish, LA",2016,15.3,130710
"Tarrant County, TX",2016,5.6,2016872
"Travis County, TX",2016,3.8,1199323
"Tulare County, CA",2016,6.9,460437
"Tulsa County, OK",2016,12.4,642940
"Tuscaloosa County, AL",2008,10.6,188093
"Union County, NJ",2016,4.1,555630
"Ventura County, CA",2016,3.6,849738
"Virginia Beach city, VA",2013,4.9,448479
"Volusia County, FL",2016,4.7,529364
"Wake County, NC",2016,3.2,1046791
"Washington County, MS",2002,40.3,59570
"Washoe County, NV",2015,5.8,446903
"Wayne County, MI",2016,18.6,1749366
"Webb County, TX",2006,10.9,229307
"Westchester County, NY",2016,2.2,974542
"Will County, IL",2016,3.8,689529
"Winnebago County, IL",2016,9.8,285873
"Worcester County, MA",2009,2.5,795251
"Wyandotte County, KS",2016,27.5,163831
"Yakima County, WA",2013,8.5,247044
"York County, PA",2013,4.6,438965
